Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
04/12/2019,NFLX190412C00327500,0,0,31.7,35.55,0,0.5287,0.9639,0.0039,2,327.500,NFLX190412P00327500,0.08,-0.01,0.06,0.11,376,0.4259,-0.0131,0.0021,560
04/12/2019,NFLX190412C00330000,32.35,-4.45,29.3,33,5,0.5496,0.9453,0.0053,93,330.000,NFLX190412P00330000,0.11,-0.01,0.09,0.13,385,0.4113,-0.0167,0.0027,918
04/12/2019,NFLX190412C00332500,0,0,26.9,30.6,0,0.5377,0.9334,0.0063,18,332.500,NFLX190412P00332500,0.14,-0.015,0.14,0.17,89,0.4037,-0.024,0.0037,442
04/12/2019,NFLX190412C00335000,0,0,24.95,28.15,0,0.4629,0.9432,0.0065,29,335.000,NFLX190412P00335000,0.24,0.035,0.2,0.25,336,0.396,-0.0326,0.0048,949
04/12/2019,NFLX190412C00337500,24.9,-4.55,23.5,24.7,1,0.4265,0.9391,0.0074,16,337.500,NFLX190412P00337500,0.31,0.04,0.28,0.32,728,0.3881,-0.0448,0.0064,899
04/12/2019,NFLX190412C00340000,21.72,-5.33,21.5,22.15,71,0.409,0.9251,0.0091,130,340.000,NFLX190412P00340000,0.42,0.05,0.4,0.44,1631,0.3813,-0.0614,0.0084,2119
04/12/2019,NFLX190412C00342500,0,0,17.9,20.05,0,0.4106,0.8962,0.0115,23,342.500,NFLX190412P00342500,0.6,0.12,0.55,0.62,1212,0.374,-0.0828,0.0107,1009
04/12/2019,NFLX190412C00345000,17.55,-4.75,16.85,17.5,26,0.387,0.8773,0.0138,81,345.000,NFLX190412P00345000,0.85,0.22,0.77,0.84,1519,0.3674,-0.1108,0.0135,2360
04/12/2019,NFLX190412C00347500,15.7,-4.35,14.75,15.3,22,0.3782,0.8428,0.0167,48,347.500,NFLX190412P00347500,1.1,0.265,1.06,1.15,1201,0.3611,-0.1462,0.0167,1943
04/12/2019,NFLX190412C00350000,13.15,-4.65,12.7,13.2,269,0.371,0.7998,0.0199,396,350.000,NFLX190412P00350000,1.5,0.395,1.45,1.53,2929,0.3555,-0.1903,0.0201,3138
04/12/2019,NFLX190412C00352500,11.35,-4.3,10.7,11.2,52,0.3651,0.7482,0.023,115,352.500,NFLX190412P00352500,2.04,0.595,1.97,2.06,787,0.3503,-0.2433,0.0235,1204
04/12/2019,NFLX190412C00355000,9.22,-4.33,8.9,9.35,376,0.3585,0.6889,0.0259,533,355.000,NFLX190412P00355000,2.7,0.815,2.6,2.73,2598,0.3449,-0.3046,0.0267,2499
04/12/2019,NFLX190412C00357500,7.5,-4.15,7.3,7.6,126,0.3516,0.6224,0.0284,236,357.500,NFLX190412P00357500,3.5,1.065,3.4,3.55,990,0.3395,-0.3737,0.0294,857
04/12/2019,NFLX190412C00360000,5.8,-4,5.85,6.05,2189,0.3453,0.5497,0.0302,1871,360.000,NFLX190412P00360000,4.5,1.4,4.35,4.55,2069,0.3336,-0.4489,0.0312,2665
04/12/2019,NFLX190412C00362500,4.5,-3.625,4.5,4.7,2090,0.3399,0.4731,0.0308,1504,362.500,NFLX190412P00362500,5.75,1.8,5.55,5.85,981,0.33,-0.5279,0.0318,1153
04/12/2019,NFLX190412C00365000,3.4,-3.225,3.4,3.6,5940,0.3349,0.3958,0.0303,2301,365.000,NFLX190412P00365000,7,2.075,6.9,7.2,1395,0.323,-0.6082,0.0313,1396
04/12/2019,NFLX190412C00367500,2.5,-2.75,2.49,2.63,1892,0.3287,0.3201,0.0286,2130,367.500,NFLX190412P00367500,8.5,2.425,8.45,8.8,217,0.3159,-0.687,0.0295,504
04/12/2019,NFLX190412C00370000,1.79,-2.285,1.78,1.88,5056,0.3246,0.2507,0.0258,3817,370.000,NFLX190412P00370000,10.45,3.05,10.15,10.6,257,0.3111,-0.7588,0.0264,1069
04/12/2019,NFLX190412C00372500,1.25,-1.875,1.23,1.32,2010,0.3229,0.1909,0.0222,1364,372.500,NFLX190412P00372500,11.98,3.08,12.15,12.55,125,0.3065,-0.8219,0.0224,255
04/12/2019,NFLX190412C00375000,0.83,-1.495,0.84,0.91,4537,0.321,0.1404,0.0183,4003,375.000,NFLX190412P00375000,14.3,3.675,14.2,14.8,121,0.3017,-0.8746,0.018,330
04/12/2019,NFLX190412C00377500,0.56,-1.155,0.55,0.62,1508,0.3192,0.0998,0.0145,1131,377.500,NFLX190412P00377500,15.9,3.375,16.35,16.9,18,0.2976,-0.9157,0.0137,61
04/12/2019,NFLX190412C00380000,0.39,-0.845,0.39,0.4,2473,0.3207,0.0705,0.0111,3782,380.000,NFLX190412P00380000,18.35,3.8,18.65,19.35,22,0.3006,-0.9419,0.0101,472
04/12/2019,NFLX190412C00382500,0.28,-0.61,0.25,0.3,800,0.3266,0.0499,0.0083,1033,382.500,NFLX190412P00382500,19.95,3.225,21.05,21.8,20,0.3043,-0.9605,0.0074,84
04/12/2019,NFLX190412C00385000,0.19,-0.45,0.17,0.2,1349,0.3297,0.0353,0.0062,2377,385.000,NFLX190412P00385000,23.6,4.625,23.5,24.25,23,0.304,-0.9751,0.005,166
04/12/2019,NFLX190412C00387500,0.13,-0.335,0.12,0.16,288,0.3404,0.0267,0.0048,575,387.500,NFLX190412P00387500,24.75,3.425,25.95,26.6,20,0.3002,-0.9857,0.0031,42
04/12/2019,NFLX190412C00390000,0.09,-0.25,0.08,0.1,1673,0.3508,0.0203,0.0037,1793,390.000,NFLX190412P00390000,28.25,4.55,28.35,29.1,8,0.3268,-0.9859,0.0029,530
04/12/2019,NFLX190412C00392500,0.12,-0.13,0.04,0.1,86,0.3645,0.016,0.0029,405,392.500,NFLX190412P00392500,28.78,2.655,29.7,32.65,20,0,-1,0.0036,48
04/12/2019,NFLX190412C00395000,0.09,-0.105,0.06,0.12,163,0.3883,0.0155,0.0026,698,395.000,NFLX190412P00395000,0,0,33.4,34.15,0,0.05,-0.9998,0,13
04/12/2019,NFLX190412C00397500,0.08,-0.075,0.02,0.12,27,0.3956,0.0114,0.002,294,397.500,NFLX190412P00397500,33.7,2.6,34.7,37.65,20,0,-0.986,0.0023,12
04/12/2019,NFLX190412C00400000,0.06,-0.065,0.05,0.07,629,0.4202,0.0113,0.0019,3855,400.000,NFLX190412P00400000,38,4.425,38.4,39.2,1,0.05,-0.9998,0,73
04/12/2019,NFLX190412C00402500,0.05,-0.055,0.04,0.11,59,0.4373,0.01,0.0016,107,402.500,NFLX190412P00402500,0,0,39.7,42.6,0,0.4311,-0.9906,0.0015,7
04/12/2019,NFLX190412C00405000,0.07,-0.025,0.01,0.05,24,0.441,0.0075,0.0012,513,405.000,NFLX190412P00405000,0,0,42.2,45.2,0,0,-1,0.0021,2
04/12/2019,NFLX190412C00407500,0,0,0,0.1,0,0.4781,0.009,0.0013,44,407.500,NFLX190412P00407500,0,0,44.7,47.65,0,0.05,-0.9998,0,0
04/12/2019,NFLX190412C00410000,0.04,-0.035,0,0.04,6,0.459,0.0047,0.0008,558,410.000,NFLX190412P00410000,0,0,47.2,50.2,0,0.4968,-0.9914,0.0012,0
04/12/2019,NFLX190412C00412500,0,0,0,0.1,0,0.5169,0.008,0.0011,32,412.500,NFLX190412P00412500,0,0,49.7,52.65,0,0.5198,-0.9915,0.0012,0
04/12/2019,NFLX190412C00415000,0.03,-0.035,0,0.03,107,0.4703,0.0027,0.0005,358,415.000,NFLX190412P00415000,0,0,52.2,55.05,0,0.05,-0.9998,0,0
04/12/2019,NFLX190412C00417500,0,0,0,0.09,0,0.5514,0.0069,0.0009,0,417.500,NFLX190412P00417500,0,0,54.7,57.65,0,0.05,-0.9998,0,0
04/12/2019,NFLX190412C00420000,0.03,-0.035,0,0.03,2,0.5051,0.0025,0.0004,341,420.000,NFLX190412P00420000,0,0,57.2,60.2,0,0.05,-0.9998,0,0
04/12/2019,NFLX190412C00422500,0,0,0,0.08,0,0.5814,0.0058,0.0007,0,422.500,NFLX190412P00422500,0,0,59.7,62.7,0,0,-0.9873,0.0013,0
04/12/2019,NFLX190412C00425000,0.03,-0.005,0.02,0.03,56,0.5685,0.0036,0.0005,225,425.000,NFLX190412P00425000,63.3,4.85,63.35,64.15,11,0.05,-0.9998,0,8
04/12/2019,NFLX190412C00430000,0.02,-0.02,0.01,0.02,3,0.5769,0.0022,0.0003,720,430.000,NFLX190412P00430000,0,0,67.2,70.2,0,0,-0.9882,0.0011,0
04/12/2019,NFLX190412C00435000,0,0,0,0.07,0,0.6657,0.0044,0.0005,46,435.000,NFLX190412P00435000,0,0,72.2,75.2,0,0,-0.9886,0.001,0
04/12/2019,NFLX190412C00440000,0,0,0.01,0.02,3,0.666,0.0027,0.0003,96,440.000,NFLX190412P00440000,0,0,77.2,80.1,0,0,-0.9931,0.0007,0
04/12/2019,NFLX190412C00445000,0.03,0.005,0,0.02,1,0.6467,0.0012,0.0002,19,445.000,NFLX190412P00445000,0,0,82.2,85.2,0,0,-0.9893,0.0009,0
04/12/2019,NFLX190412C00450000,0.04,0,0,0.02,1,0.6782,0.0012,0.0002,162,450.000,NFLX190412P00450000,0,0,87.2,90.1,0,0,-0.9933,0.0006,0
04/18/2019,NFLX190418C00130000,0,0,230.9,232,0,2.001,0.9994,0,188,130.000,NFLX190418P00130000,0,0,0,0.05,0,2.0339,-0.0007,0,4
04/18/2019,NFLX190418C00140000,0,0,220.85,222.05,0,2.0903,0.9982,0,26,140.000,NFLX190418P00140000,0,0,0,0.05,0,1.8987,-0.0008,0,20
04/18/2019,NFLX190418C00150000,0,0,210.6,212.05,0,1.9917,0.9977,0.0001,19,150.000,NFLX190418P00150000,0,0,0,0.05,0,1.7673,-0.0008,0,20
04/18/2019,NFLX190418C00160000,0,0,200,202.95,0,2.001,0.9956,0.0001,10,160.000,NFLX190418P00160000,0,0,0,0.05,0,1.6432,-0.0009,0,0
04/18/2019,NFLX190418C00170000,0,0,190.05,192.95,0,1.7467,0.997,0.0001,0,170.000,NFLX190418P00170000,0,0,0,0.05,0,1.5201,-0.0009,0,1
04/18/2019,NFLX190418C00180000,0,0,180,183,0,1.6857,0.9958,0.0001,1,180.000,NFLX190418P00180000,0,0,0,0.05,0,1.4262,-0.0011,0,5
04/18/2019,NFLX190418C00190000,0,0,170.05,173,0,1.5853,0.995,0.0002,0,190.000,NFLX190418P00190000,0,0,0,0.05,0,1.3135,-0.0011,0,0
04/18/2019,NFLX190418C00200000,0,0,160.05,163,0,1.3608,0.9969,0.0001,188,200.000,NFLX190418P00200000,0,0,0,0.01,0,1.0635,-0.0003,0,558
04/18/2019,NFLX190418C00205000,0,0,155.05,158,0,1.3761,0.9954,0.0002,10,205.000,NFLX190418P00205000,0,0,0,0.05,0,1.1629,-0.0012,0.0001,198
04/18/2019,NFLX190418C00210000,0,0,150.05,153,0,1.3194,0.9953,0.0002,1,210.000,NFLX190418P00210000,0,0,0,0.02,0,1.0322,-0.0006,0,183
04/18/2019,NFLX190418C00215000,0,0,145.15,148,0,1.2309,0.996,0.0002,4,215.000,NFLX190418P00215000,0,0,0,0.03,0,1.03,-0.0009,0,285
04/18/2019,NFLX190418C00220000,0,0,140.05,143.05,0,1.2084,0.9951,0.0002,24,220.000,NFLX190418P00220000,0,0,0,0.05,0,1.0316,-0.0014,0.0001,141
04/18/2019,NFLX190418C00225000,0,0,135.05,138.05,0,1.2042,0.9934,0.0003,5,225.000,NFLX190418P00225000,0.02,-0.01,0.01,0.05,2,0.9607,-0.0011,0.0001,256
04/18/2019,NFLX190418C00230000,0,0,130.1,133.05,0,1.1017,0.9949,0.0002,2,230.000,NFLX190418P00230000,0,0,0,0.05,0,0.9487,-0.0016,0.0001,79
04/18/2019,NFLX190418C00235000,0,0,125.05,128.05,0,1.1153,0.9923,0.0003,1,235.000,NFLX190418P00235000,0,0,0,0.05,0,0.8989,-0.0015,0.0001,182
04/18/2019,NFLX190418C00240000,0,0,120.15,123.85,0,0.9993,0.9947,0.0003,10,240.000,NFLX190418P00240000,0,0,0,0.07,0,0.8568,-0.0016,0.0001,262
04/18/2019,NFLX190418C00245000,0,0,115.1,119,0,0.995,0.9927,0.0003,2,245.000,NFLX190418P00245000,0.05,0.015,0.01,0.04,50,0.8245,-0.0018,0.0001,908
04/18/2019,NFLX190418C00250000,0,0,110.15,113.9,0,1.0103,0.9889,0.0005,21,250.000,NFLX190418P00250000,0.04,-0.01,0.04,0.13,10,0.8398,-0.0033,0.0002,420
04/18/2019,NFLX190418C00255000,0,0,105.2,108.9,0,0.9338,0.9902,0.0005,3,255.000,NFLX190418P00255000,0,0,0,0.05,0,0.7681,-0.0025,0.0002,702
04/18/2019,NFLX190418C00260000,0,0,100.2,103.9,0,0.8432,0.9924,0.0004,56,260.000,NFLX190418P00260000,0.07,0.005,0.03,0.07,23,0.7549,-0.0035,0.0002,466
04/18/2019,NFLX190418C00265000,0,0,95.2,98.9,0,0.8648,0.9874,0.0006,11,265.000,NFLX190418P00265000,0.06,-0.01,0.02,0.13,6,0.7477,-0.0051,0.0003,1063
04/18/2019,NFLX190418C00270000,0,0,90.3,93.9,0,0.8516,0.9838,0.0008,6,270.000,NFLX190418P00270000,0.13,0.01,0.12,0.14,308,0.7554,-0.0083,0.0005,1863
04/18/2019,NFLX190418C00275000,0,0,85.35,89,0,0.794,0.984,0.0008,45,275.000,NFLX190418P00275000,0.2,0.03,0.13,0.18,28,0.73,-0.0101,0.0006,1696
04/18/2019,NFLX190418C00280000,82.25,-4.775,81.35,82.2,1,0.7798,0.9795,0.0011,119,280.000,NFLX190418P00280000,0.22,-0.02,0.2,0.25,309,0.7207,-0.0139,0.0008,932
04/18/2019,NFLX190418C00285000,77.25,-4.875,76.45,77.25,1,0.7549,0.9753,0.0013,40,285.000,NFLX190418P00285000,0.33,-0.005,0.28,0.35,24,0.7124,-0.019,0.0011,926
04/18/2019,NFLX190418C00290000,0,0,70.7,73.5,0,0.7408,0.9684,0.0016,51,290.000,NFLX190418P00290000,0.44,-0.02,0.43,0.47,150,0.7063,-0.026,0.0014,1716
04/18/2019,NFLX190418C00295000,0,0,65.9,68.6,0,0.7309,0.9591,0.002,118,295.000,NFLX190418P00295000,0.6,-0.02,0.58,0.63,296,0.7003,-0.035,0.0018,1641
04/18/2019,NFLX190418C00300000,63.28,-4.37,62.05,62.7,16,0.7145,0.9491,0.0024,316,300.000,NFLX190418P00300000,0.83,-0.005,0.81,0.87,149,0.6937,-0.0463,0.0023,2903
04/18/2019,NFLX190418C00305000,58.27,-4.655,55.55,60,5,0.7017,0.936,0.003,69,305.000,NFLX190418P00305000,1.1,0,1.09,1.13,95,0.685,-0.0598,0.0029,1831
04/18/2019,NFLX190418C00310000,53.65,-4.575,52.65,53.6,47,0.695,0.9183,0.0036,80,310.000,NFLX190418P00310000,1.44,0.005,1.46,1.53,84,0.6779,-0.0769,0.0036,1632
04/18/2019,NFLX190418C00312500,0,0,48.5,51.1,0,0.6982,0.9061,0.004,0,312.500,NFLX190418P00312500,1.67,0.04,1.67,1.74,8,0.6746,-0.0867,0.0039,8
04/18/2019,NFLX190418C00315000,49.07,-4.605,48.1,48.8,48,0.6888,0.8972,0.0043,154,315.000,NFLX190418P00315000,1.95,0.1,1.92,1.99,162,0.6716,-0.0976,0.0043,2273
04/18/2019,NFLX190418C00317500,0,0,45.9,46.6,0,0.6796,0.8871,0.0047,0,317.500,NFLX190418P00317500,2.2,0.105,2.19,2.29,20,0.6682,-0.1094,0.0047,28
04/18/2019,NFLX190418C00320000,44.68,-4.495,43.85,44.35,2771,0.6768,0.874,0.0051,3645,320.000,NFLX190418P00320000,2.55,0.17,2.51,2.6,425,0.6655,-0.1224,0.0051,2595
04/18/2019,NFLX190418C00322500,42.45,-4.475,41.6,42.25,2,0.6731,0.8603,0.0055,3,322.500,NFLX190418P00322500,2.78,0.105,2.85,2.94,74,0.6623,-0.1362,0.0055,74
04/18/2019,NFLX190418C00325000,40,-4.85,39.65,40.1,2,0.6685,0.8458,0.0059,212,325.000,NFLX190418P00325000,3.22,0.175,3.25,3.3,330,0.6604,-0.1516,0.0059,2007
04/18/2019,NFLX190418C00327500,0,0,37.45,38.3,0,0.668,0.8288,0.0064,14,327.500,NFLX190418P00327500,3.6,0.2,3.65,3.8,241,0.6575,-0.1677,0.0064,201
04/18/2019,NFLX190418C00330000,36.2,-4.45,35.55,36,32,0.6619,0.8129,0.0068,4539,330.000,NFLX190418P00330000,4.21,0.41,4.15,4.3,264,0.655,-0.1849,0.0068,5221
04/18/2019,NFLX190418C00332500,33.49,-5.135,33.6,34.05,34,0.6591,0.7947,0.0072,40,332.500,NFLX190418P00332500,4.76,0.46,4.65,4.8,59,0.6527,-0.2033,0.0072,298
04/18/2019,NFLX190418C00335000,32.4,-4.2,31.65,32.2,16,0.6551,0.7758,0.0076,287,335.000,NFLX190418P00335000,5.25,0.475,5.25,5.4,160,0.6504,-0.2228,0.0077,1145
04/18/2019,NFLX190418C00337500,30.15,-4.5,29.75,30.25,15,0.6538,0.7552,0.008,59,337.500,NFLX190418P00337500,6,0.7,5.85,6.05,45,0.6481,-0.2432,0.0081,467
04/18/2019,NFLX190418C00340000,28.3,-4.475,28.05,28.45,116,0.6497,0.7343,0.0084,1697,340.000,NFLX190418P00340000,6.6,0.7,6.55,6.7,259,0.6456,-0.2646,0.0085,3027
04/18/2019,NFLX190418C00342500,26.15,-4.7,26.25,26.7,4,0.6479,0.712,0.0088,50,342.500,NFLX190418P00342500,7.4,0.875,7.25,7.45,168,0.6441,-0.2871,0.0088,366
04/18/2019,NFLX190418C00345000,24.9,-4.2,24.55,25,15,0.6457,0.6889,0.0091,671,345.000,NFLX190418P00345000,8.1,0.85,8.05,8.25,200,0.6397,-0.3098,0.0092,1326
04/18/2019,NFLX190418C00347500,23.5,-3.85,22.85,23.35,8,0.642,0.6654,0.0095,71,347.500,NFLX190418P00347500,8.94,0.94,8.9,9.1,153,0.6373,-0.3338,0.0095,482
04/18/2019,NFLX190418C00350000,21.5,-4.15,21.25,21.7,128,0.64,0.6408,0.0097,7183,350.000,NFLX190418P00350000,9.9,1.1,9.8,10,475,0.6345,-0.3584,0.0098,10157
04/18/2019,NFLX190418C00352500,20.25,-3.775,19.75,20.2,50,0.6365,0.6158,0.01,166,352.500,NFLX190418P00352500,10.8,1.175,10.75,10.95,126,0.631,-0.3835,0.0101,415
04/18/2019,NFLX190418C00355000,18.5,-3.925,18.35,18.65,61,0.6334,0.5903,0.0102,3245,355.000,NFLX190418P00355000,11.8,1.275,11.75,12,381,0.6281,-0.4093,0.0103,4012
04/18/2019,NFLX190418C00357500,17.46,-3.39,16.95,17.2,42,0.6297,0.5642,0.0104,272,357.500,NFLX190418P00357500,12.86,1.335,12.85,13.05,135,0.6235,-0.4355,0.0105,448
04/18/2019,NFLX190418C00360000,15.6,-3.8,15.6,15.85,760,0.6264,0.5378,0.0106,6781,360.000,NFLX190418P00360000,13.95,1.425,13.95,14.2,490,0.6193,-0.4622,0.0107,5527
04/18/2019,NFLX190418C00362500,14.4,-3.55,14.3,14.55,370,0.6215,0.511,0.0107,1012,362.500,NFLX190418P00362500,15.11,1.535,15.15,15.35,338,0.6145,-0.4893,0.0108,587
04/18/2019,NFLX190418C00365000,13.13,-3.47,13.05,13.3,439,0.6169,0.484,0.0108,2420,365.000,NFLX190418P00365000,16.55,1.825,16.4,16.7,143,0.611,-0.5165,0.0109,1367
04/18/2019,NFLX190418C00367500,12.05,-3.225,11.85,12.1,355,0.6117,0.4568,0.0108,794,367.500,NFLX190418P00367500,17.2,1.3,17.7,17.95,75,0.6057,-0.5441,0.0109,454
04/18/2019,NFLX190418C00370000,10.85,-3.15,10.75,10.95,1315,0.6067,0.4295,0.0108,3622,370.000,NFLX190418P00370000,19.25,2.125,19.05,19.35,67,0.6008,-0.5716,0.0109,1323
04/18/2019,NFLX190418C00372500,9.84,-2.985,9.7,9.9,218,0.6021,0.4023,0.0107,789,372.500,NFLX190418P00372500,19.65,1.25,20.5,20.8,83,0.595,-0.5993,0.0108,506
04/18/2019,NFLX190418C00375000,8.75,-2.9,8.65,8.9,458,0.5968,0.3752,0.0106,2404,375.000,NFLX190418P00375000,22.57,2.795,22,22.3,38,0.5896,-0.6267,0.0107,857
04/18/2019,NFLX190418C00377500,7.8,-2.775,7.75,8,178,0.593,0.3489,0.0104,627,377.500,NFLX190418P00377500,23.45,2.25,23.6,23.95,6,0.5844,-0.6537,0.0105,304
04/18/2019,NFLX190418C00380000,7.15,-2.425,6.9,7.15,684,0.5873,0.3225,0.0102,7053,380.000,NFLX190418P00380000,24.85,2.125,25.2,25.55,76,0.5797,-0.6801,0.0103,1816
04/18/2019,NFLX190418C00382500,6.2,-2.4,6.15,6.35,250,0.5845,0.2977,0.0099,653,382.500,NFLX190418P00382500,27.4,3.175,26.9,27.3,17,0.5755,-0.7057,0.01,43
04/18/2019,NFLX190418C00385000,5.48,-2.245,5.4,5.6,557,0.58,0.273,0.0096,1710,385.000,NFLX190418P00385000,28.7,2.85,28.7,29.1,62,0.5706,-0.7308,0.0097,384
04/18/2019,NFLX190418C00387500,4.84,-2.085,4.75,4.95,188,0.5749,0.2489,0.0092,503,387.500,NFLX190418P00387500,29.5,1.975,30.55,30.95,6,0.5664,-0.7547,0.0093,486
04/18/2019,NFLX190418C00390000,4.24,-1.91,4.2,4.35,462,0.5708,0.2262,0.0088,2533,390.000,NFLX190418P00390000,32.65,3.275,32.45,32.85,9,0.5618,-0.7778,0.0088,671
04/18/2019,NFLX190418C00392500,3.92,-1.555,3.7,3.85,129,0.5692,0.2057,0.0083,160,392.500,NFLX190418P00392500,34.15,3.05,34.4,34.75,27,0.5584,-0.7993,0.0084,16
04/18/2019,NFLX190418C00395000,3.27,-1.555,3.2,3.35,390,0.5647,0.185,0.0079,1543,395.000,NFLX190418P00395000,36.35,3.4,36.35,37.1,4,0.5565,-0.8189,0.0079,172
04/18/2019,NFLX190418C00397500,2.89,-1.385,2.83,2.93,255,0.5632,0.1668,0.0074,216,397.500,NFLX190418P00397500,0,0,38.45,39.25,0,0.5533,-0.8379,0.0074,0
04/18/2019,NFLX190418C00400000,2.48,-1.27,2.46,2.56,2438,0.563,0.1505,0.0069,6347,400.000,NFLX190418P00400000,40.55,3.675,40.6,41.05,10,0.5505,-0.8554,0.0069,167
04/18/2019,NFLX190418C00402500,2.2,-1.125,2.14,2.24,54,0.5603,0.1342,0.0064,78,402.500,NFLX190418P00402500,42.3,3.375,42.8,43.5,5,0.5487,-0.8712,0.0064,10
04/18/2019,NFLX190418C00405000,1.89,-1.025,1.86,1.96,174,0.561,0.1206,0.006,1155,405.000,NFLX190418P00405000,44.55,3.425,45,45.4,1,0.5479,-0.8854,0.0059,46
04/18/2019,NFLX190418C00407500,1.73,-0.825,1.62,1.71,8,0.5594,0.1071,0.0055,19,407.500,NFLX190418P00407500,48.05,4.9,47.2,47.75,13,0.5438,-0.8997,0.0054,17
04/18/2019,NFLX190418C00410000,1.44,-0.8,1.42,1.48,261,0.5599,0.0957,0.0051,4455,410.000,NFLX190418P00410000,49.05,3.7,49.5,50.1,21,0.544,-0.9111,0.0049,142
04/18/2019,NFLX190418C00412500,1.38,-0.575,1.24,1.32,38,0.5604,0.0852,0.0046,34,412.500,NFLX190418P00412500,0,0,51.8,52.7,0,0.5599,-0.915,0.0046,0
04/18/2019,NFLX190418C00415000,1.1,-0.615,1.09,1.15,124,0.562,0.0761,0.0043,689,415.000,NFLX190418P00415000,53.15,3.35,54.15,54.8,9,0.5483,-0.9291,0.0041,71
